Statistics Canada, CANSIM using CHASS.
,
COL0,Date (YYYY-MM-DD)
COL1,v687239 Quebec; Gross domestic product (GDP) at market prices *Terminated*
,
COL0,COL1
,
1981,80494
1982,85218
1983,91832
1984,100292
1985,107391
1986,117156
1987,128438
1988,140845
1989,148431
1990,153330
1991,155156
1992,158362
1993,162229
1994,170478
1995,177331
1996,180526
1997,188424
1998,196258
1999,210809
2000,224928
2001,231624
2002,241448
2003,250752
2004,262761
2005,272049
2006,282505
2007,295928
2008,304479
2009,304861
2010,319348
